Date,Detail,Customer/Supplier name,Dr,Cr,Balance
2024-07-01,Receipt,Cash Customer,0.0,29240.75,29240.75
2024-07-01,Receipt,Cash Customer,0.0,17188.05,46428.8
2024-07-01,Receipt,Ivy Fuels,0.0,1764.0,48192.8
2024-07-01,Receipt,Lumen Traders,0.0,10823.2,59016.0
2024-07-01,Receipt,Alpha Transport,0.0,7137.75,66153.75
2024-07-01,Receipt,Eagle Freight,0.0,6155.03,72308.78
2024-07-01,Payment,Engen,32250.0,0.0,40058.78
2024-07-01,Payment,Engen,38700.0,0.0,1358.7799999999988
2024-07-01,Payment,Engen,32750.0,0.0,-31391.22
2024-07-01,Payment,Engen,29500.0,0.0,-60891.22
2024-07-01,Payment,Engen,29500.0,0.0,-90391.22
2024-07-01,Payment,Engen,24600.0,0.0,-114991.22
2024-07-02,Payment,Engen,36900.0,0.0,-151891.22
2024-07-02,Payment,Engen,26400.0,0.0,-178291.22
2024-07-02,Payment,Engen,23400.0,0.0,-201691.22
2024-07-02,Payment,Engen,15750.0,0.0,-217441.22
2024-07-02,Payment,Engen,32100.0,0.0,-249541.22
2024-07-02,Receipt,Omega Cargo,0.0,7070.5,-242470.72
2024-07-02,Receipt,Cash Customer,0.0,22378.78,-220091.94
2024-07-02,Receipt,Cash Customer,0.0,18653.17,-201438.77000000002
2024-07-02,Receipt,Falcon Movers,0.0,9139.2,-192299.57
2024-07-02,Receipt,Omega Cargo,0.0,2920.0,-189379.57
2024-07-03,Receipt,Cash Customer,0.0,14126.4,-175253.17
2024-07-03,Receipt,Cash Customer,0.0,19567.24,-155685.93000000002
2024-07-03,Receipt,MaxDrive Ltd,0.0,11614.23,-144071.7
2024-07-03,Payment,Engen,16500.0,0.0,-160571.7
2024-07-03,Payment,Engen,36900.0,0.0,-197471.7
2024-07-03,Receipt,Delta Haulage,0.0,3084.48,-194387.22
2024-07-03,Payment,Engen,27500.0,0.0,-221887.22
2024-07-03,Payment,Engen,21000.0,0.0,-242887.22
2024-07-03,Payment,Engen,18450.0,0.0,-261337.22
2024-07-03,Payment,Engen,17550.0,0.0,-278887.22
2024-07-03,Payment,Engen,19650.0,0.0,-298537.22
2024-07-03,Payment,Engen,32250.0,0.0,-330787.22
2024-07-03,Receipt,Kappa Transporters,0.0,6734.63,-324052.58999999997
2024-07-03,Receipt,Civic Petroleum,0.0,8747.76,-315304.82999999996
2024-07-03,Receipt,Alpha Transport,0.0,2359.96,-312944.87
2024-07-03,Receipt,Ivy Fuels,0.0,7806.78,-305138.08999999997
2024-07-04,Payment,Engen,22200.0,0.0,-327338.08999999997
2024-07-04,Receipt,Cash Customer,0.0,25037.04,-302301.05
2024-07-04,Receipt,Cash Customer,0.0,15818.24,-286482.81
2024-07-04,Receipt,Ivy Fuels,0.0,11514.0,-274968.81
2024-07-04,Receipt,Giga Haulers,0.0,4302.69,-270666.12
2024-07-04,Receipt,Giga Haulers,0.0,6872.25,-263793.87
2024-07-04,Payment,Engen,22800.0,0.0,-286593.87
2024-07-04,Payment,Engen,24800.0,0.0,-311393.87
2024-07-05,Payment,Engen,25600.0,0.0,-336993.87
2024-07-05,Payment,Engen,16650.0,0.0,-353643.87
2024-07-05,Payment,Engen,36600.0,0.0,-390243.87
2024-07-05,Payment,Engen,16950.0,0.0,-407193.87
2024-07-05,Payment,Engen,25400.0,0.0,-432593.87
2024-07-05,Receipt,Helix Petroleum,0.0,9460.92,-423132.95
2024-07-05,Receipt,Cash Customer,0.0,16997.04,-406135.91000000003
2024-07-05,Receipt,Omega Cargo,0.0,8827.5,-397308.41000000003
2024-07-05,Receipt,Helix Petroleum,0.0,5530.2,-391778.21
2024-07-05,Receipt,Delta Haulage,0.0,9633.0,-382145.21
2024-07-05,Receipt,Helix Petroleum,0.0,2272.05,-379873.16000000003
2024-07-05,Receipt,Cash Customer,0.0,17113.55,-362759.61000000004
2024-07-06,Receipt,Ivy Fuels,0.0,6512.79,-356246.82000000007
2024-07-06,Payment,Engen,35400.0,0.0,-391646.82000000007
2024-07-06,Payment,Engen,24200.0,0.0,-415846.82000000007
2024-07-06,Payment,Engen,26600.0,0.0,-442446.82000000007
2024-07-06,Payment,Engen,39300.0,0.0,-481746.82000000007
2024-07-06,Payment,Engen,28750.0,0.0,-510496.82000000007
2024-07-06,Receipt,Cash Customer,0.0,19069.06,-491427.76000000007
2024-07-06,Receipt,Cash Customer,0.0,14120.79,-477306.9700000001
2024-07-06,Receipt,Eagle Freight,0.0,5976.0,-471330.9700000001
2024-07-06,Receipt,Kappa Transporters,0.0,7163.52,-464167.45000000007
2024-07-06,Receipt,Helix Petroleum,0.0,9470.24,-454697.2100000001
2024-07-06,Payment,Engen,19050.0,0.0,-473747.2100000001
2024-07-06,Receipt,Jupiter Energy,0.0,11377.85,-462369.3600000001
2024-07-07,Payment,Engen,23000.0,0.0,-485369.3600000001
2024-07-07,Payment,Engen,29000.0,0.0,-514369.3600000001
2024-07-07,Payment,Engen,24600.0,0.0,-538969.3600000001
