Date,Document,Supplier Name,Payment Ref #Invoice number,Description,Debit (Amount Owed),Credit (Payments/Credit Notes Applied)
7/1/2024,Invoice,Total,PINV2212,Gasoline Delivery,29500.0,
7/1/2024,Payment,Engen,PAY_PINV2212,Payment for PINV2212,,29500.0
7/1/2024,Invoice,Total,PINV2240,Gasoline Delivery,24600.0,
7/1/2024,Payment,Engen,PAY_PINV2240,Payment for PINV2240,,24600.0
7/1/2024,Invoice,Total,PINV2007,Gasoline Delivery,29500.0,
7/1/2024,Payment,Engen,PAY_PINV2007,Payment for PINV2007,,29500.0
7/1/2024,Invoice,Total,PINV2006,Gasoline Delivery,32750.0,
7/1/2024,Payment,Engen,PAY_PINV2006,Payment for PINV2006,,32750.0
7/1/2024,Invoice,Total,PINV2252,Diesel Delivery,38700.0,
7/1/2024,Payment,Engen,PAY_PINV2252,Payment for PINV2252,,38700.0
7/1/2024,Invoice,Total,PINV2363,Gasoline Delivery,32250.0,
7/1/2024,Payment,Engen,PAY_PINV2363,Payment for PINV2363,,32250.0
7/2/2024,Invoice,Total,PINV2074,Gasoline Delivery,23400.0,
7/2/2024,Payment,Engen,PAY_PINV2074,Payment for PINV2074,,23400.0
7/2/2024,Invoice,Total,PINV2207,Diesel Delivery,32100.0,
7/2/2024,Payment,Engen,PAY_PINV2207,Payment for PINV2207,,32100.0
7/2/2024,Invoice,Total,PINV2314,Diesel Delivery,15750.0,
7/2/2024,Payment,Engen,PAY_PINV2314,Payment for PINV2314,,15750.0
7/2/2024,Invoice,Total,PINV2380,Gasoline Delivery,36900.0,
7/2/2024,Payment,Engen,PAY_PINV2380,Payment for PINV2380,,36900.0
7/2/2024,Invoice,Total,PINV2139,Gasoline Delivery,26400.0,
7/2/2024,Payment,Engen,PAY_PINV2139,Payment for PINV2139,,26400.0
7/3/2024,Invoice,Total,PINV2452,Gasoline Delivery,19650.0,
7/3/2024,Payment,Engen,PAY_PINV2452,Payment for PINV2452,,19650.0
7/3/2024,Invoice,Total,PINV2003,Gasoline Delivery,17550.0,
7/3/2024,Payment,Engen,PAY_PINV2003,Payment for PINV2003,,17550.0
7/3/2024,Invoice,Total,PINV2368,Diesel Delivery,18450.0,
7/3/2024,Payment,Engen,PAY_PINV2368,Payment for PINV2368,,18450.0
7/3/2024,Invoice,Total,PINV2234,Diesel Delivery,21000.0,
7/3/2024,Payment,Engen,PAY_PINV2234,Payment for PINV2234,,21000.0
7/3/2024,Invoice,Total,PINV2351,Diesel Delivery,27500.0,
7/3/2024,Payment,Engen,PAY_PINV2351,Payment for PINV2351,,27500.0
7/3/2024,Invoice,Total,PINV2339,Gasoline Delivery,36900.0,
7/3/2024,Payment,Engen,PAY_PINV2339,Payment for PINV2339,,36900.0
7/3/2024,Invoice,Total,PINV2243,Gasoline Delivery,32250.0,
7/3/2024,Payment,Engen,PAY_PINV2243,Payment for PINV2243,,32250.0
7/3/2024,Invoice,Total,PINV2071,Diesel Delivery,16500.0,
7/3/2024,Payment,Engen,PAY_PINV2071,Payment for PINV2071,,16500.0
7/4/2024,Invoice,Total,PINV2300,Gasoline Delivery,24800.0,
7/4/2024,Payment,Engen,PAY_PINV2300,Payment for PINV2300,,24800.0
7/4/2024,Invoice,Total,PINV2243,Diesel Delivery,22200.0,
7/4/2024,Payment,Engen,PAY_PINV2243,Payment for PINV2243,,22200.0
7/4/2024,Invoice,Total,PINV2335,Gasoline Delivery,22800.0,
7/4/2024,Payment,Engen,PAY_PINV2335,Payment for PINV2335,,22800.0
7/5/2024,Invoice,Total,PINV2295,Gasoline Delivery,25600.0,
7/5/2024,Payment,Engen,PAY_PINV2295,Payment for PINV2295,,25600.0
7/5/2024,Invoice,Total,PINV2391,Diesel Delivery,16650.0,
7/5/2024,Payment,Engen,PAY_PINV2391,Payment for PINV2391,,16650.0
7/5/2024,Invoice,Total,PINV2285,Gasoline Delivery,25400.0,
7/5/2024,Payment,Engen,PAY_PINV2285,Payment for PINV2285,,25400.0
7/5/2024,Invoice,Total,PINV2523,Gasoline Delivery,36600.0,
7/5/2024,Payment,Engen,PAY_PINV2523,Payment for PINV2523,,36600.0
7/5/2024,Invoice,Total,PINV2553,Gasoline Delivery,16950.0,
7/5/2024,Payment,Engen,PAY_PINV2553,Payment for PINV2553,,16950.0
7/6/2024,Invoice,Total,PINV2390,Diesel Delivery,19050.0,
7/6/2024,Payment,Engen,PAY_PINV2390,Payment for PINV2390,,19050.0
7/6/2024,Invoice,Total,PINV2393,Gasoline Delivery,35400.0,
7/6/2024,Payment,Engen,PAY_PINV2393,Payment for PINV2393,,35400.0
7/6/2024,Invoice,Total,PINV2055,Diesel Delivery,24200.0,
7/6/2024,Payment,Engen,PAY_PINV2055,Payment for PINV2055,,24200.0
7/6/2024,Invoice,Total,PINV2473,Gasoline Delivery,26600.0,
7/6/2024,Payment,Engen,PAY_PINV2473,Payment for PINV2473,,26600.0
7/6/2024,Invoice,Total,PINV2029,Gasoline Delivery,39300.0,
7/6/2024,Payment,Engen,PAY_PINV2029,Payment for PINV2029,,39300.0
7/6/2024,Invoice,Total,PINV2371,Gasoline Delivery,28750.0,
7/6/2024,Payment,Engen,PAY_PINV2371,Payment for PINV2371,,28750.0
7/7/2024,Invoice,Total,PINV2061,Diesel Delivery,31500.0,
7/7/2024,Payment,Engen,PAY_PINV2061,Payment for PINV2061,,31500.0
7/7/2024,Invoice,Total,PINV2147,Gasoline Delivery,29000.0,
7/7/2024,Payment,Engen,PAY_PINV2147,Payment for PINV2147,,29000.0
7/7/2024,Invoice,Total,PINV2174,Gasoline Delivery,24600.0,
7/7/2024,Payment,Engen,PAY_PINV2174,Payment for PINV2174,,24600.0
